Ensembl Gene Record	A778_D0_gene	A820_D0_gene	A870_D0_gene	A899_D0_gene
ENSG00000006634.7	206	270	259	286
ENSG00000006638.11	14	3	1	7
ENSG00000006652.13	1125	688	832	1666
ENSG00000006659.12	0	0	1	14
ENSG00000006695.10	276	190	233	625
ENSG00000006704.10	1102	593	1013	1204
ENSG00000006712.14	877	478	1258	2834
ENSG00000006715.15	1998	990	496	2120
ENSG00000006740.16	234	87	322	1024
ENSG00000006744.18	711	686	722	1437
ENSG00000006747.14	14	18	13	17
ENSG00000006756.15	348	1196	249	857
ENSG00000006757.11	4	216	81	427
ENSG00000006831.9	1189	3046	1183	1774
ENSG00000006837.11	9	6	10	12
ENSG00000007038.10	72	2301	519	589
ENSG00000007047.14	827	252	445	504
ENSG00000007062.11	97	12	191	42
ENSG00000007080.10	577	869	1287	1829
ENSG00000007168.12	1831	1275	1566	3463
ENSG00000007171.17	16	2	0	2
ENSG00000007174.17	13	0	0	41
ENSG00000007202.14	2987	2347	2625	4378
ENSG00000007237.18	192	55	78	1249
ENSG00000007255.10	169	149	95	234
ENSG00000007264.14	4	118	3	11
ENSG00000007312.12	5	3	0	14
ENSG00000007314.12	16	1	0	39
ENSG00000007341.18	168	263	148	196
ENSG00000007350.16	2	3	3	976
ENSG00000007372.22	4	121	19	2
ENSG00000007376.7	442	327	420	920
ENSG00000007384.15	982	154	380	841
ENSG00000007392.16	2049	784	1177	1401
ENSG00000007402.11	133	14	27	67
ENSG00000007516.13	704	155	443	114
ENSG00000007520.3	461	330	492	1008
ENSG00000007541.16	715	394	564	1241
ENSG00000007545.15	972	325	497	912
ENSG00000007866.20	1596	378	541	945
ENSG00000007923.15	942	1387	979	1577
ENSG00000007944.14	708	276	525	787
ENSG00000007968.6	83	108	75	387
ENSG00000008018.8	1863	874	1153	1778
ENSG00000008056.13	12	7	1	35
ENSG00000008083.13	686	327	388	637
ENSG00000008086.11	190	93	78	155
ENSG00000008118.9	8	1	0	1
ENSG00000008128.22	306	229	321	470
ENSG00000008130.15	974	769	1072	1852
ENSG00000008226.19	68	56	47	39
ENSG00000008256.15	1219	442	379	1449
ENSG00000008277.14	70	84	55	3
ENSG00000008282.8	1947	1637	1623	2737
ENSG00000008283.15	2297	1763	1054	1945
ENSG00000008294.20	1371	1011	763	1550
ENSG00000008300.16	357	90	229	337
ENSG00000008311.14	157	76	5	79
ENSG00000008323.15	412	100	122	846
ENSG00000008324.11	113	226	205	197
ENSG00000008382.15	153	233	179	317
ENSG00000008394.12	181	774	1348	243
ENSG00000008405.11	896	412	587	1186
ENSG00000008441.16	558	5151	2614	5857
ENSG00000008513.15	1697	7092	2711	3072
ENSG00000008516.16	16	3	5	41
ENSG00000008517.16	505	86	26	552
ENSG00000008710.19	2373	1206	3720	3197
ENSG00000008735.13	71	128	32	1651
ENSG00000008838.19	1138	1669	473	1753
ENSG00000008853.16	1075	799	587	1067
ENSG00000008869.11	997	701	682	678
ENSG00000008952.16	4261	1921	2383	5699
ENSG00000008988.9	9131	17703	8963	17581
ENSG00000009307.15	39458	9565	10402	10446
ENSG00000009335.17	1981	952	1965	3298
ENSG00000009413.15	816	186	335	1109
ENSG00000009694.13	13	0	20	4
