Ensembl Gene Record	A778_D0_gene	A820_D0_gene	A870_D0_gene	A899_D0_gene
ENSG00000101412.12	263	733	227	1433
ENSG00000101413.11	1272	682	927	1276
ENSG00000101417.11	360	171	393	845
ENSG00000101421.3	4367	3124	2685	5751
ENSG00000101425.13	1	31	0	0
ENSG00000101439.8	2823	918	2020	6309
ENSG00000101440.9	0	0	0	6
ENSG00000101441.4	4	3	1	0
ENSG00000101442.9	347	242	267	225
ENSG00000101443.17	2789	3059	10904	8883
ENSG00000101444.12	2210	5802	2698	8916
ENSG00000101445.9	307	905	2567	185
ENSG00000101447.14	291	470	443	623
ENSG00000101448.13	3	11	40	20
ENSG00000101452.14	553	260	414	510
ENSG00000101457.12	746	366	553	790
ENSG00000101460.12	580	496	80	810
ENSG00000101463.5	39	51	195	189
ENSG00000101464.10	771	502	307	599
ENSG00000101470.9	7	1	12	8
ENSG00000101473.16	359	259	613	508
ENSG00000101474.11	2283	1388	2033	3334
ENSG00000101489.19	72	8	93	281
ENSG00000101493.10	991	399	97	326
ENSG00000101544.8	668	240	205	940
ENSG00000101546.12	192	195	131	230
ENSG00000101557.14	1777	1377	1722	4161
ENSG00000101558.13	2263	2034	2537	7243
ENSG00000101574.14	242	148	170	680
ENSG00000101577.9	1801	1257	700	1756
ENSG00000101596.15	1541	1341	1030	2737
ENSG00000101605.12	618	122	32	114
ENSG00000101608.12	4208	2440	2778	7990
ENSG00000101624.10	168	57	97	338
ENSG00000101638.13	9	27	15	237
ENSG00000101639.18	864	300	938	1556
ENSG00000101654.17	1614	681	1221	2907
ENSG00000101665.9	578	149	152	496
ENSG00000101670.11	141	55	29	141
ENSG00000101680.14	467	11	25	602
ENSG00000101695.8	31	118	37	195
ENSG00000101745.16	1187	652	441	1117
ENSG00000101751.10	431	246	76	482
ENSG00000101752.11	490	442	1139	1733
ENSG00000101773.18	544	256	641	1443
ENSG00000101782.14	1992	1003	3182	4980
ENSG00000101811.13	150	399	121	442
ENSG00000101825.7	571	325	129	3059
ENSG00000101842.13	3	3	4	3
ENSG00000101843.18	410	662	433	1173
ENSG00000101844.17	94	81	122	317
ENSG00000101846.6	142	530	224	824
ENSG00000101849.16	253	551	152	336
ENSG00000101850.12	73	352	10	91
ENSG00000101856.9	1445	1499	963	3255
ENSG00000101868.10	146	398	102	187
ENSG00000101871.14	154	251	312	544
ENSG00000101882.9	111	263	167	628
ENSG00000101888.11	78	170	66	316
ENSG00000101901.11	280	532	247	743
ENSG00000101911.12	169	578	169	418
ENSG00000101916.11	13	15	6	2
ENSG00000101928.12	219	481	438	657
ENSG00000101935.9	165	371	247	680
ENSG00000101938.14	10	39	82	3053
ENSG00000101940.17	580	780	604	2509
ENSG00000101945.16	80	372	88	383
ENSG00000101955.14	69	11	3	19
ENSG00000101966.12	1062	1030	703	1977
ENSG00000101972.18	1119	1824	730	2938
ENSG00000101974.14	283	795	447	335
ENSG00000101977.20	3	1	3	2
ENSG00000101986.11	394	284	363	1054
ENSG00000101997.12	151	638	165	470
ENSG00000102001.12	8	107	4	145
ENSG00000102003.10	3	36	28	79
ENSG00000102007.10	747	1386	480	561
ENSG00000102024.17	676	248	99	2446
ENSG00000102030.15	430	1113	1404	1228
ENSG00000102032.12	154	173	117	509
ENSG00000102034.16	748	591	476	1556
ENSG00000102038.15	498	300	122	1428
ENSG00000102043.15	10	14	11	20
ENSG00000102048.15	2	27	7	27
ENSG00000102053.12	5	5	8	14
ENSG00000102054.17	755	2544	990	3242
ENSG00000102057.9	40	49	18	180
ENSG00000102078.15	90	206	66	261
ENSG00000102081.14	1152	2843	3304	4168
ENSG00000102096.9	127	602	100	267
ENSG00000102098.17	54	66	65	135
ENSG00000102100.15	583	1452	536	1614
ENSG00000102103.15	410	2100	889	1427
ENSG00000102104.8	1	0	0	18
ENSG00000102109.8	167	5	136	110
ENSG00000102119.10	295	1410	2033	1534
ENSG00000102125.15	175	392	799	1979
ENSG00000102144.14	4047	13633	6581	11398
ENSG00000102158.19	1239	1091	1131	3593
ENSG00000102172.15	885	2618	463	1953
ENSG00000102174.8	33	12	10	29
ENSG00000102178.12	602	1347	1138	1018
ENSG00000102181.20	348	1028	879	1066
ENSG00000102189.16	417	439	455	773
ENSG00000102218.5	226	252	148	202
ENSG00000102221.13	230	231	152	270
ENSG00000102225.15	1290	1656	2156	10322
ENSG00000102226.9	870	1170	585	10272
ENSG00000102230.13	5	5	0	1
ENSG00000102241.11	740	2138	1748	2332
ENSG00000102243.12	401	557	623	291
ENSG00000102265.11	1393	1066	835	5873
ENSG00000102271.13	2	1	4	0
ENSG00000102287.18	2200	3786	2403	775
ENSG00000102302.7	81	70	15	478
ENSG00000102309.12	154	366	285	974
ENSG00000102312.21	44	244	831	322
ENSG00000102313.8	0	5	3	4
ENSG00000102316.16	1423	1309	773	4819
ENSG00000102317.17	1115	5105	2775	6716
ENSG00000102349.17	181	67	99	632
ENSG00000102359.6	118	74	5	20
ENSG00000102362.15	35	45	21	79
ENSG00000102383.13	12	0	16	87
ENSG00000102384.13	31	118	47	200
ENSG00000102385.12	5	18	3	18
ENSG00000102387.15	0	17	3	4
ENSG00000102390.10	174	214	89	610
ENSG00000102393.10	104	271	177	390
ENSG00000102401.19	793	958	619	2326
ENSG00000102409.9	542	479	229	2785
ENSG00000102445.18	40	11	13	45
ENSG00000102471.14	1817	2097	1820	1211
ENSG00000102524.11	49	8	59	28
ENSG00000102531.16	2553	481	1324	1808
ENSG00000102539.5	1	0	5	2
ENSG00000102543.14	127	116	111	143
ENSG00000102547.18	378	139	122	61
ENSG00000102554.13	4052	3031	2946	3664
ENSG00000102572.14	1842	2120	2961	3933
ENSG00000102575.11	244	1001	92	1079
ENSG00000102580.14	1379	693	1311	2031
ENSG00000102595.19	385	327	300	576
ENSG00000102606.18	1049	1096	630	1046
ENSG00000102678.6	289	3	49	133
ENSG00000102683.7	6	0	3	9
ENSG00000102699.5	2221	1187	2050	2039
ENSG00000102710.19	1631	420	632	993
ENSG00000102738.7	288	162	365	323
ENSG00000102743.14	101	86	77	98
ENSG00000102753.9	858	700	720	1112
ENSG00000102755.11	11	19	8	9
ENSG00000102760.12	50	172	190	593
ENSG00000102763.17	330	313	334	621
ENSG00000102780.16	1149	408	397	431
ENSG00000102781.13	195	137	93	322
ENSG00000102786.14	737	671	1052	1151
ENSG00000102796.10	103	38	69	60
ENSG00000102802.9	2	6	9	108
ENSG00000102804.14	2905	1194	4546	3572
ENSG00000102805.14	404	771	362	333
ENSG00000102854.15	12055	2739	19805	9000
ENSG00000102858.12	2290	693	1141	2126
ENSG00000102870.5	1223	391	797	1073
ENSG00000102871.15	236	133	226	359
ENSG00000102878.16	324	148	455	614
ENSG00000102879.15	968	97	369	262
ENSG00000102882.11	942	350	966	1284
ENSG00000102886.14	51	57	121	87
ENSG00000102890.14	499	588	747	713
ENSG00000102893.15	816	474	1073	805
ENSG00000102897.9	345	606	595	419
ENSG00000102898.11	1174	686	1228	1628
ENSG00000102900.12	571	471	684	927
ENSG00000102901.12	936	555	1531	1318
ENSG00000102904.14	43	33	21	75
ENSG00000102908.20	1715	585	1662	1483
ENSG00000102910.13	1115	788	1231	1134
ENSG00000102921.7	783	277	458	863
ENSG00000102924.11	1	1	3	3
ENSG00000102931.7	420	281	689	871
ENSG00000102934.9	125	328	420	315
ENSG00000102935.11	52	6	16	170
ENSG00000102962.4	1	2	1	4
ENSG00000102967.11	99	190	183	200
ENSG00000102974.15	986	849	766	1119
ENSG00000102977.14	133	177	172	150
ENSG00000102978.12	521	384	920	912
ENSG00000102981.9	18	43	38	21
ENSG00000102984.14	194	29	56	130
ENSG00000102996.4	1037	887	614	758
ENSG00000103005.11	535	222	593	632
ENSG00000103018.16	950	698	814	1075
ENSG00000103021.9	177	152	27	186
ENSG00000103023.11	2	1	0	1
ENSG00000103024.7	717	229	1288	528
ENSG00000103034.14	754	142	413	623
ENSG00000103035.10	1039	587	1146	1445
ENSG00000103037.11	253	512	527	536
ENSG00000103042.8	573	238	373	923
ENSG00000103043.14	662	651	540	1175
ENSG00000103044.10	24	17	20	37
ENSG00000103047.7	59	64	61	96
ENSG00000103051.18	788	1307	1614	841
ENSG00000103056.11	22	33	43	73
ENSG00000103061.12	356	237	440	315
ENSG00000103064.14	774	644	1350	563
ENSG00000103066.12	514	122	332	640
ENSG00000103067.13	1144	806	1340	952
ENSG00000103089.8	51	41	23	49
ENSG00000103091.14	726	508	772	645
ENSG00000103111.14	901	417	963	1158
ENSG00000103121.8	148	216	292	319
ENSG00000103126.14	1443	542	592	1326
ENSG00000103145.10	806	674	1085	1406
ENSG00000103148.15	445	363	592	711
ENSG00000103150.5	173	233	210	375
ENSG00000103152.11	371	190	312	554
ENSG00000103154.9	8	0	3	2
ENSG00000103160.11	601	399	441	485
ENSG00000103168.16	1027	502	902	1555
ENSG00000103174.12	183	71	112	359
ENSG00000103175.10	9	13	0	12
ENSG00000103184.11	12	5	3	28
ENSG00000103187.7	902	983	884	673
ENSG00000103194.15	873	734	839	1310
ENSG00000103196.11	277	17	36	97
ENSG00000103197.17	3053	1853	2408	3628
ENSG00000103199.13	282	207	177	406
ENSG00000103202.12	462	727	839	833
ENSG00000103222.18	2453	633	1409	2895
ENSG00000103226.17	198	113	51	188
ENSG00000103227.18	56	105	177	162
ENSG00000103245.13	634	275	712	712
ENSG00000103248.18	238	278	257	338
ENSG00000103249.17	2001	905	1923	3709
ENSG00000103253.18	211	201	483	674
ENSG00000103254.9	205	152	363	595
ENSG00000103257.8	867	733	1296	2136
ENSG00000103260.8	274	160	1072	500
ENSG00000103264.17	290	285	343	454
ENSG00000103266.10	952	581	1400	1697
ENSG00000103269.13	68	32	61	155
ENSG00000103274.10	231	218	195	380
ENSG00000103275.19	2576	1126	2176	2829
ENSG00000103313.12	1	4	5	6
ENSG00000103316.10	12	9	13	5
ENSG00000103319.11	579	1490	971	2258
ENSG00000103326.11	1336	591	1119	1638
ENSG00000103335.22	2817	2020	2186	3161
ENSG00000103342.12	1731	991	1565	2669
ENSG00000103343.12	128	36	137	258
ENSG00000103351.12	299	256	153	373
ENSG00000103353.15	1875	791	1233	1904
ENSG00000103355.13	1	140	4	3
ENSG00000103356.15	488	395	535	704
ENSG00000103363.14	1024	1586	2538	2122
ENSG00000103365.15	1894	1250	1218	2301
ENSG00000103375.10	0	9	2	3
ENSG00000103381.11	990	634	377	532
ENSG00000103404.14	565	165	227	712
ENSG00000103415.11	481	267	419	546
ENSG00000103423.13	921	792	1182	1721
ENSG00000103429.10	987	599	804	1553
ENSG00000103449.11	0	14	0	0
ENSG00000103460.16	119	81	0	0
ENSG00000103472.10	2	3	3	8
ENSG00000103479.15	1101	732	1168	1009
ENSG00000103485.17	1552	752	2401	1354
ENSG00000103489.11	3	5	1	3
ENSG00000103490.13	31	91	78	224
ENSG00000103494.13	199	122	144	181
ENSG00000103495.13	3487	1869	3822	5026
ENSG00000103496.14	859	370	1045	1290
ENSG00000103502.13	1634	684	1469	1860
ENSG00000103507.13	635	440	534	824
ENSG00000103510.19	654	389	829	1339
ENSG00000103512.14	1261	637	1321	1447
ENSG00000103522.15	1	2	5	3
ENSG00000103528.16	264	125	388	807
ENSG00000103534.16	79	449	168	157
ENSG00000103540.16	466	302	294	709
ENSG00000103544.14	468	318	395	1029
ENSG00000103549.21	1904	738	1583	2580
ENSG00000103550.13	935	381	440	896
ENSG00000103569.9	101	115	81	266
ENSG00000103591.12	801	930	525	1138
ENSG00000103599.19	29	160	10	39
ENSG00000103642.11	169	409	297	565
ENSG00000103647.12	21	216	24	14
ENSG00000103653.16	939	798	505	1180
ENSG00000103657.13	912	1498	564	1041
ENSG00000103671.9	412	447	228	523
ENSG00000103707.9	128	381	76	211
ENSG00000103710.10	66	42	54	47
ENSG00000103723.13	82	20	26	181
ENSG00000103740.9	31	49	29	12
ENSG00000103742.11	157	25	22	272
ENSG00000103769.9	2253	2871	1173	2204
ENSG00000103811.16	280	550	405	509
ENSG00000103832.10	1	15	2	3
ENSG00000103852.12	275	98	220	274
ENSG00000103855.17	1647	971	515	2410
ENSG00000103876.12	142	200	166	277
ENSG00000103888.16	260	412	327	706
ENSG00000103932.11	390	670	229	686
ENSG00000103942.12	797	1593	719	941
ENSG00000103966.10	1009	1068	419	1120
ENSG00000103978.15	1285	1955	886	1103
ENSG00000103994.17	1499	1417	730	1602
ENSG00000103995.13	108	222	96	220
ENSG00000104043.14	12	10	13	12
ENSG00000104044.15	11	31	217	34
ENSG00000104047.14	318	393	82	180
ENSG00000104055.15	1	14	1	1
ENSG00000104059.4	38	23	6	15
ENSG00000104064.17	338	417	304	515
ENSG00000104067.16	2554	1772	2037	3684
ENSG00000104081.13	1274	144	229	1242
ENSG00000104093.13	860	441	395	633
ENSG00000104112.8	0	0	0	8
ENSG00000104129.9	238	274	171	290
ENSG00000104131.12	845	1276	1047	1660
ENSG00000104133.14	993	1388	618	1235
ENSG00000104140.6	65	41	12	53
ENSG00000104142.10	560	488	279	898
ENSG00000104147.8	38	100	31	122
ENSG00000104154.6	110	94	99	187
ENSG00000104164.10	928	754	423	1085
ENSG00000104177.17	1694	1810	1133	2736
ENSG00000104205.13	403	222	194	522
ENSG00000104213.12	220	33	19	24
ENSG00000104218.14	620	885	281	453
ENSG00000104219.12	1133	726	447	4
ENSG00000104221.12	380	225	126	286
ENSG00000104228.12	439	219	169	314
ENSG00000104231.10	778	967	562	751
ENSG00000104237.9	7	103	14	48
ENSG00000104267.9	90	19	2015	586
ENSG00000104290.10	1255	711	187	325
ENSG00000104299.14	474	503	114	369
ENSG00000104312.7	812	458	249	358
ENSG00000104313.18	2	30	1	1
ENSG00000104320.13	1543	1399	815	892
ENSG00000104321.10	2	1	5	0
ENSG00000104324.15	194	213	272	455
ENSG00000104325.6	516	414	684	637
ENSG00000104327.7	22	402	73	43
ENSG00000104331.8	2592	3352	1610	2126
ENSG00000104332.11	670	79	127	22
ENSG00000104341.16	13386	9024	4387	6289
ENSG00000104343.19	898	934	560	645
ENSG00000104356.10	138	225	110	108
ENSG00000104361.9	215	929	395	522
ENSG00000104365.14	2316	1874	1409	1679
ENSG00000104368.17	2826	160	471	566
ENSG00000104369.4	126	457	110	154
ENSG00000104371.4	2	0	0	0
ENSG00000104375.16	1036	529	494	545
ENSG00000104381.12	163	102	82	514
ENSG00000104388.14	2968	2606	2010	3098
ENSG00000104408.9	4009	11941	2733	4944
ENSG00000104412.7	785	817	289	456
ENSG00000104413.16	2566	2408	1480	3577
ENSG00000104415.14	40	9	52	10
ENSG00000104419.14	7098	18822	13730	2889
ENSG00000104427.11	618	690	232	307
ENSG00000104432.13	1	29	1	0
ENSG00000104442.9	789	801	461	1139
ENSG00000104447.12	285	472	179	350
ENSG00000104450.12	458	380	172	352
ENSG00000104472.9	679	1126	806	1088
ENSG00000104490.17	621	150	107	66
ENSG00000104497.13	367	264	188	294
ENSG00000104517.12	3263	2405	2659	2135
ENSG00000104518.10	533	3463	1795	1017
ENSG00000104522.15	1178	3366	3020	1747
ENSG00000104524.13	261	801	435	376
ENSG00000104529.17	4888	22241	13790	7421
ENSG00000104537.16	0	0	5	12
ENSG00000104549.11	803	3078	2042	588
ENSG00000104611.11	664	793	979	496
ENSG00000104613.11	862	923	519	580
ENSG00000104626.14	612	361	134	289
ENSG00000104635.13	2443	2227	957	2746
ENSG00000104643.9	728	296	185	333
ENSG00000104660.18	1159	843	413	799
ENSG00000104671.7	747	506	291	587
ENSG00000104679.10	472	317	208	396
ENSG00000104687.13	1432	2321	584	1172
ENSG00000104689.9	755	386	160	147
ENSG00000104691.14	248	445	119	400
ENSG00000104695.12	3038	1996	1448	2667
ENSG00000104714.13	446	536	157	383
ENSG00000104722.13	1	6	2	0
ENSG00000104723.20	2515	783	584	7
ENSG00000104728.15	74	35	67	92
ENSG00000104731.13	441	613	668	905
ENSG00000104738.17	1168	3637	945	1427
ENSG00000104756.15	549	557	394	458
ENSG00000104763.18	6693	3192	2147	2435
ENSG00000104765.15	1943	2073	1469	1673
ENSG00000104774.12	942	3366	1480	2665
ENSG00000104783.12	64	64	78	51
ENSG00000104805.15	3913	2058	3118	4197
ENSG00000104808.7	10	4	11	35
ENSG00000104812.14	670	750	866	781
ENSG00000104814.12	147	17	72	176
ENSG00000104823.8	860	675	1126	3361
ENSG00000104824.17	2970	2661	3560	8895
ENSG00000104825.16	297	119	281	1134
ENSG00000104826.13	0	0	1	4
ENSG00000104833.11	142	310	62	257
ENSG00000104835.14	220	120	195	761
ENSG00000104848.1	5	1	2	5
ENSG00000104852.14	3495	2134	5162	3815
ENSG00000104853.15	1966	920	1629	1505
ENSG00000104856.13	631	160	158	550
ENSG00000104859.14	757	541	1061	1052
ENSG00000104863.11	9	6	26	16
ENSG00000104866.10	820	406	830	1163
ENSG00000104870.12	587	187	249	780
ENSG00000104872.10	680	482	616	527
ENSG00000104880.17	391	437	87	309
ENSG00000104881.15	464	463	1248	393
ENSG00000104883.7	68	73	9	68
ENSG00000104884.15	441	399	684	582
ENSG00000104885.17	726	630	452	1071
ENSG00000104886.11	427	707	459	730
ENSG00000104888.9	11	1	6	7
ENSG00000104889.6	79	765	96	251
ENSG00000104892.16	179	188	137	83
ENSG00000104894.11	43	28	33	21
ENSG00000104897.9	465	523	524	1080
ENSG00000104899.7	16	13	4	56
ENSG00000104901.6	8	3	2	4
ENSG00000104903.4	16	29	6	34
ENSG00000104904.12	2723	1820	4187	4900
ENSG00000104907.12	434	8084	873	2090
ENSG00000104915.14	293	5676	586	1144
ENSG00000104936.17	544	177	274	879
ENSG00000104938.16	22	0	4	3
ENSG00000104946.12	760	225	607	933
ENSG00000104951.15	650	57	58	112
ENSG00000104953.19	26	9	15	76
ENSG00000104957.13	459	1138	623	1444
ENSG00000104960.15	1876	814	1954	2068
ENSG00000104964.14	3811	1990	4516	5012
ENSG00000104967.6	3	0	0	22
ENSG00000104969.9	676	656	619	963
ENSG00000104972.15	45	22	29	27
ENSG00000104973.17	2073	764	930	1708
ENSG00000104974.11	1	1	0	1
ENSG00000104976.11	467	446	137	499
ENSG00000104979.8	656	2998	1748	2420
ENSG00000104980.7	1924	1597	717	2211
ENSG00000104983.8	114	58	137	190
ENSG00000104998.3	41	134	48	141
ENSG00000105011.8	141	559	117	672
ENSG00000105048.16	2148	1155	423	2031
ENSG00000105053.10	499	225	375	326
ENSG00000105058.11	980	1383	857	2416
ENSG00000105063.18	1679	780	1559	3920
ENSG00000105072.8	138	425	145	404
ENSG00000105085.10	116	238	177	437
ENSG00000105088.8	549	162	2	148
ENSG00000105122.12	10	10	11	11
ENSG00000105127.8	859	961	852	2098
ENSG00000105131.7	9	0	0	15
ENSG00000105135.15	1007	1700	2550	2529
ENSG00000105136.20	149	67	323	1098
ENSG00000105137.12	62	40	287	296
ENSG00000105146.12	21	10	2	129
ENSG00000105171.9	291	502	442	1561
ENSG00000105173.13	133	891	225	1290
ENSG00000105176.17	852	1915	1143	3358
ENSG00000105185.11	473	1107	963	1930
ENSG00000105186.15	489	789	711	1177
ENSG00000105193.8	5448	6918	11107	33720
ENSG00000105197.10	599	599	1095	3108
ENSG00000105202.8	1124	1792	2784	8018
ENSG00000105204.13	611	326	456	1790
ENSG00000105219.9	14	20	48	175
ENSG00000105220.15	2678	8744	8284	10469
ENSG00000105221.16	2128	1555	4751	10590
ENSG00000105223.19	3251	592	2558	4294
ENSG00000105227.14	120	45	102	370
ENSG00000105229.6	316	251	228	547
ENSG00000105245.9	371	228	379	2988
ENSG00000105246.5	2	5	0	5
ENSG00000105248.15	132	189	112	346
ENSG00000105254.11	1215	722	1253	3489
ENSG00000105255.10	33	1	74	114
ENSG00000105258.8	265	150	422	1009
ENSG00000105270.14	432	46	459	1283
ENSG00000105278.10	0	1	0	70
ENSG00000105281.12	1508	1326	1657	1462
ENSG00000105287.12	1271	316	623	834
ENSG00000105289.14	634	907	240	494
ENSG00000105290.11	383	49	261	1187
ENSG00000105298.13	385	281	386	643
ENSG00000105321.13	592	250	452	368
ENSG00000105323.16	4121	2482	4741	13496
ENSG00000105325.13	524	457	427	1115
ENSG00000105327.17	275	86	35	119
ENSG00000105329.9	134	43	858	409
ENSG00000105339.10	680	809	446	394
ENSG00000105341.18	356	321	460	1255
ENSG00000105355.8	511	390	296	599
ENSG00000105357.16	8726	2124	2472	4878
ENSG00000105364.13	602	2472	374	1727
ENSG00000105369.9	1	1	0	2
ENSG00000105371.9	169	2	29	191
ENSG00000105372.7	5021	7488	11276	46581
ENSG00000105373.18	1933	2934	2243	4168
ENSG00000105374.9	1	2	4	5
ENSG00000105376.4	258	12	472	310
ENSG00000105379.9	293	341	640	827
ENSG00000105383.14	12	16	7	20
ENSG00000105388.15	0	0	0	1147
ENSG00000105393.15	572	1273	768	1926
ENSG00000105397.13	1489	2819	798	3044
ENSG00000105401.8	3364	7111	2161	6505
ENSG00000105402.7	731	315	919	637
ENSG00000105404.10	577	249	1238	6192
ENSG00000105409.18	1	0	6	28
ENSG00000105419.17	1	0	1	7
ENSG00000105426.16	1729	7645	1873	1309
ENSG00000105427.9	18	26	31	38
ENSG00000105429.12	1159	486	1072	3816
ENSG00000105438.8	1719	824	2399	2393
ENSG00000105443.14	2964	1310	1634	1868
ENSG00000105447.12	573	414	598	677
ENSG00000105464.3	24	10	33	86
ENSG00000105472.12	15	39	28	87
ENSG00000105479.15	191	116	29	32
ENSG00000105483.17	423	179	362	329
ENSG00000105486.13	539	551	728	795
ENSG00000105492.15	0	0	0	217
ENSG00000105497.7	11	84	124	166
ENSG00000105499.13	6	8	4	65
ENSG00000105514.7	1039	2627	805	1769
ENSG00000105516.10	196	135	219	317
ENSG00000105518.13	1074	3751	1387	1913
ENSG00000105519.15	1892	2434	1241	769
ENSG00000105520.10	265	1120	371	626
ENSG00000105523.3	294	90	34	83
ENSG00000105538.9	24	19	74	84
ENSG00000105552.14	406	397	475	614
ENSG00000105556.11	211	333	207	280
ENSG00000105559.11	348	39	417	1083
ENSG00000105568.17	3911	2199	2466	2689
ENSG00000105576.15	1383	4897	1848	3428
ENSG00000105583.10	13	63	28	40
ENSG00000105607.12	272	1830	589	959
ENSG00000105609.16	13	0	2	9
ENSG00000105610.5	0	3	2	0
ENSG00000105612.8	603	2446	852	1823
ENSG00000105613.9	83	452	100	220
ENSG00000105617.3	116	72	165	399
ENSG00000105618.13	813	683	742	1837
ENSG00000105619.13	192	137	212	761
ENSG00000105639.18	156	30	291	637
ENSG00000105640.12	4525	17438	19002	27971
ENSG00000105641.3	0	19	3	11
ENSG00000105642.15	3	0	32	103
ENSG00000105643.9	81	620	159	491
ENSG00000105647.16	19	25	103	63
ENSG00000105649.9	51	101	105	42
ENSG00000105650.22	12	11	19	39
ENSG00000105655.18	1672	2395	1526	2537
ENSG00000105656.12	328	441	441	710
ENSG00000105662.15	471	515	432	1190
ENSG00000105664.10	1	0	9	33
ENSG00000105668.7	13	0	0	9
ENSG00000105669.13	1188	640	1543	3471
ENSG00000105671.11	417	396	952	1644
ENSG00000105672.14	9	4	19	16
ENSG00000105675.8	2	1	1	10
ENSG00000105676.13	320	642	614	1192
ENSG00000105677.11	597	1122	928	3300
ENSG00000105695.14	122	68	40	312
ENSG00000105696.8	70	23	2	17
ENSG00000105697.8	16	6	8	29
ENSG00000105698.15	1149	1638	2428	5413
ENSG00000105699.16	3320	3307	3163	6607
ENSG00000105700.10	788	973	1034	1924
ENSG00000105701.15	2234	2141	3061	5509
ENSG00000105705.15	390	484	579	803
ENSG00000105707.13	171	692	365	2297
ENSG00000105708.8	184	86	162	128
ENSG00000105711.11	17	66	31	195
ENSG00000105717.13	52	41	45	104
ENSG00000105722.9	1421	505	1286	1497
ENSG00000105723.11	826	388	726	835
ENSG00000105726.16	1148	1154	1471	3066
ENSG00000105732.12	326	141	259	217
ENSG00000105737.9	116	12	147	275
ENSG00000105738.10	1146	622	659	2949
ENSG00000105750.14	122	113	87	212
ENSG00000105755.7	241	251	254	218
ENSG00000105767.2	699	109	169	619
ENSG00000105771.13	326	255	423	515
ENSG00000105778.18	1912	1489	691	2428
ENSG00000105784.15	0	18	1	1
ENSG00000105792.19	133	233	187	398
ENSG00000105793.15	561	448	632	464
ENSG00000105808.17	31	17	19	22
ENSG00000105810.9	1216	178	1683	2435
ENSG00000105819.13	888	1223	803	2229
ENSG00000105821.14	819	678	679	1892
ENSG00000105825.12	991	3075	416	1783
ENSG00000105829.12	344	246	379	528
ENSG00000105835.11	2123	1656	1247	2337
ENSG00000105849.5	385	263	275	973
ENSG00000105851.10	14	21	10	31
ENSG00000105852.10	0	0	34	41
ENSG00000105854.12	1484	1481	1174	1818
ENSG00000105855.9	5651	4234	5511	19270
ENSG00000105856.13	1453	963	1098	2215
ENSG00000105865.10	222	154	84	272
ENSG00000105866.14	224	81	128	339
ENSG00000105875.13	956	151	1087	1747
ENSG00000105877.17	71	88	13	11
ENSG00000105879.11	539	517	318	668
ENSG00000105880.6	3	38	0	1
ENSG00000105887.10	3364	1131	3641	4612
ENSG00000105889.15	10	0	1	23
ENSG00000105894.11	20	22	13	75
ENSG00000105926.15	156	275	125	513
ENSG00000105928.14	157	27	74	108
ENSG00000105929.16	16	5	4	15
ENSG00000105939.12	892	527	1214	1599
ENSG00000105948.13	199	140	182	447
ENSG00000105953.14	2114	1978	1473	3630
ENSG00000105963.14	393	167	135	437
ENSG00000105967.15	25	26	37	30
ENSG00000105968.18	1525	3383	1143	3547
ENSG00000105971.14	216	718	645	1215
ENSG00000105974.11	98	260	298	1267
ENSG00000105976.14	524	1152	755	535
ENSG00000105982.16	81	2	80	67
ENSG00000105983.20	976	408	817	1460
ENSG00000105988.6	0	3	3	7
ENSG00000105989.9	3	1	2	6
ENSG00000105991.8	1	1	1	41
ENSG00000105993.14	2229	676	2666	4398
ENSG00000105996.6	0	4	0	42
ENSG00000105997.22	1	65	0	304
ENSG00000106003.12	673	727	194	218
ENSG00000106004.4	1	18	1	172
ENSG00000106006.6	0	6	1	27
ENSG00000106009.15	739	426	554	1037
ENSG00000106012.17	1172	221	339	1235
ENSG00000106013.14	8	0	12	18
ENSG00000106018.13	19	16	122	60
ENSG00000106025.8	993	1699	2234	1904
ENSG00000106028.10	1019	719	2036	2229
ENSG00000106031.8	0	4	0	0
ENSG00000106034.17	14	10	1	9
ENSG00000106049.8	554	294	446	1010
ENSG00000106052.13	2950	1249	1770	6445
ENSG00000106066.14	506	537	515	5163
ENSG00000106069.22	18	8	5	59
ENSG00000106070.18	731	476	289	1598
ENSG00000106077.18	2295	1548	5694	5546
ENSG00000106078.18	521	422	349	1962
ENSG00000106080.10	498	176	394	521
ENSG00000106086.19	667	346	249	441
ENSG00000106089.11	242	147	283	440
ENSG00000106100.10	253	121	54	478
ENSG00000106105.13	1359	1089	1305	4593
ENSG00000106113.18	2	0	1	7
ENSG00000106123.11	188	38	1552	453
ENSG00000106125.14	47	40	17	79
ENSG00000106133.17	260	442	674	509
ENSG00000106144.19	984	481	828	1640
ENSG00000106153.12	3172	3376	2103	6258
ENSG00000106211.8	8044	5478	18441	19798
ENSG00000106236.3	113	46	11	27
ENSG00000106244.12	2066	1973	2510	3112
ENSG00000106245.10	957	813	801	1285
ENSG00000106246.17	196	137	109	236
ENSG00000106258.14	182	12	0	35
ENSG00000106261.16	3347	1856	1829	2926
ENSG00000106263.17	3403	2555	3766	7090
ENSG00000106266.10	1573	534	546	2013
ENSG00000106268.15	119	142	177	101
ENSG00000106278.11	1	0	4	3
ENSG00000106290.14	774	627	695	1505
ENSG00000106299.7	1535	1002	852	1563
ENSG00000106305.9	431	372	319	1121
ENSG00000106327.12	22	3	6	11
ENSG00000106330.11	326	154	221	270
ENSG00000106333.12	491	1615	206	181
ENSG00000106336.12	16	20	9	23
