Ensembl Gene Record	Common Gene Name	Read Count	Log Count
ENSG00000000419.12	DPM1	1140	7.038783541388542
ENSG00000000457.13	SCYL3	182	5.204006687076795
ENSG00000000460.16	C1orf112	84	4.430816798843313
ENSG00000000938.12	FGR	31	3.4339872044851463
ENSG00000000971.15	CFH	124	4.820281565605037
ENSG00000001036.13	FUCA2	530	6.272877006546167
ENSG00000001084.12	GCLC	675	6.51471269087253
ENSG00000001167.14	NFYA	581	6.364750756851911
ENSG00000001460.17	STPG1	115	4.74493212836325
ENSG00000001461.16	NIPAL3	1301	7.170888478512505
ENSG00000001497.16	LAS1L	443	6.093569770045136
ENSG00000001561.6	ENPP4	623	6.434546518787453
ENSG00000001617.11	SEMA3F	375	5.926926025970411
ENSG00000001626.15	CFTR	31	3.4339872044851463
ENSG00000001629.9	ANKIB1	1652	7.409741954080923
ENSG00000001630.16	CYP51A1	156	5.049856007249537
ENSG00000001631.15	KRIT1	478	6.169610732491456
ENSG00000002016.17	RAD52	383	5.948034989180646
ENSG00000002330.13	BAD	512	6.238324625039508
ENSG00000002549.12	LAP3	583	6.368187186350492
ENSG00000002587.9	HS3ST1	15	2.70805020110221
ENSG00000002726.20	AOC1	652	6.480044561926653
ENSG00000002746.14	HECW1	34	3.5263605246161616
ENSG00000002822.15	MAD1L1	198	5.288267030694535
ENSG00000002834.17	LASP1	2200	7.696212639346407
ENSG00000002919.14	SNX11	292	5.676753802268282
ENSG00000002933.8	TMEM176A	278	5.627621113690637
ENSG00000003056.7	M6PR	898	6.8001700683022
ENSG00000003137.8	CYP26B1	62	4.127134385045092
ENSG00000003147.18	ICA1	257	5.54907608489522
ENSG00000003249.13	DBNDD1	217	5.37989735354046
ENSG00000003393.14	ALS2	511	6.236369590203704
ENSG00000003400.14	CASP10	504	6.222576268071369
ENSG00000003402.19	CFLAR	2403	7.784473235736469
ENSG00000003436.15	TFPI	10	2.302585092994046
ENSG00000003509.15	NDUFAF7	319	5.765191102784844
ENSG00000003756.16	RBM5	2061	7.630946580890459
ENSG00000003987.13	MTMR7	21	3.044522437723423
ENSG00000003989.17	SLC7A2	102	4.624972813284271
ENSG00000004059.10	ARF5	1221	7.107425474110705
ENSG00000004139.13	SARM1	253	5.53338948872752
ENSG00000004142.11	POLDIP2	777	6.655440350367647
ENSG00000004399.12	PLXND1	454	6.118097198041348
ENSG00000004455.16	AK2	3629	8.19671240721307
ENSG00000004468.12	CD38	9	2.1972245773362196
ENSG00000004478.7	FKBP4	5564	8.624072553043334
ENSG00000004487.16	KDM1A	2011	7.606387389772652
ENSG00000004534.14	RBM6	1205	7.094234845924755
ENSG00000004660.14	CAMKK1	122	4.804021044733257
ENSG00000004700.15	RECQL	272	5.605802066295998
ENSG00000004766.16	VPS50	475	6.163314804034641
ENSG00000004777.18	ARHGAP33	377	5.932245187448011
ENSG00000004779.9	NDUFAB1	822	6.71174039505618
ENSG00000004799.7	PDK4	280	5.634789603169249
ENSG00000004838.13	ZMYND10	25	3.2188758248682006
ENSG00000004864.13	SLC25A13	612	6.416732282512326
ENSG00000004866.20	ST7	242	5.488937726156687
ENSG00000004897.11	CDC27	915	6.818924065275521
ENSG00000004961.14	HCCS	219	5.389071729816501
ENSG00000004975.11	DVL2	470	6.152732694704104
ENSG00000005001.9	PRSS22	557	6.322565239927284
ENSG00000005007.12	UPF1	2133	7.665284718471351
ENSG00000005020.12	SKAP2	290	5.66988092298052
ENSG00000005022.5	SLC25A5	2527	7.834788107388194
ENSG00000005059.15	MCUB	75	4.31748811353631
ENSG00000005075.15	POLR2J	448	6.104793232414985
ENSG00000005100.12	DHX33	380	5.940171252720432
ENSG00000005102.12	MEOX1	3	1.0986122886681098
ENSG00000005108.15	THSD7A	29	3.367295829986474
ENSG00000005156.11	LIG3	368	5.908082938168931
ENSG00000005175.9	RPAP3	389	5.963579343618446
ENSG00000005187.11	ACSM3	64	4.1588830833596715
ENSG00000005189.19	REXO5	33	3.4965075614664802
ENSG00000005194.14	CIAPIN1	579	6.361302477572996
ENSG00000005206.16	SPPL2B	507	6.2285110035911835
ENSG00000005238.19	FAM214B	292	5.676753802268282
ENSG00000005243.9	COPZ2	53	3.970291913552122
ENSG00000005249.12	PRKAR2B	247	5.5093883366279774
ENSG00000005302.18	MSL3	413	6.023447592961033
ENSG00000005339.14	CREBBP	1427	7.2633296174768365
ENSG00000005379.16	TSPOAP1	400	5.991464547107982
ENSG00000005421.8	PON1	2	0.6931471805599453
ENSG00000005436.13	GCFC2	207	5.332718793265369
ENSG00000005448.16	WDR54	233	5.4510384535657
ENSG00000005469.11	CROT	280	5.634789603169249
ENSG00000005471.17	ABCB4	2	0.6931471805599453
ENSG00000005483.20	KMT2E	1641	7.403061091090091
ENSG00000005486.16	RHBDD2	2403	7.784473235736469
ENSG00000005700.14	IBTK	984	6.891625897052253
ENSG00000005801.17	ZNF195	408	6.0112671744041615
ENSG00000005810.17	MYCBP2	898	6.8001700683022
ENSG00000005812.10	FBXL3	740	6.606650186198215
ENSG00000005844.17	ITGAL	70	4.248495242049359
ENSG00000005882.11	PDK2	506	6.226536669287466
ENSG00000005884.17	ITGA3	7748	8.955190024526887
ENSG00000005889.15	ZFX	347	5.849324779946859
ENSG00000005893.15	LAMP2	1395	7.240649694255466
ENSG00000005961.18	ITGA2B	24	3.1780538303479458
ENSG00000006007.11	GDE1	925	6.829793737512425
ENSG00000006015.17	REX1BD	481	6.175867270105761
ENSG00000006016.10	CRLF1	13	2.5649493574615367
ENSG00000006025.11	OSBPL7	381	5.942799375126701
ENSG00000006042.11	TMEM98	9	2.1972245773362196
ENSG00000006047.12	YBX2	52	3.9512437185814275
ENSG00000006062.15	MAP3K14	184	5.214935757608986
ENSG00000006118.14	TMEM132A	1699	7.4377951216719325
ENSG00000006125.17	AP2B1	731	6.594413459749778
ENSG00000006194.9	ZNF263	574	6.352629396319567
ENSG00000006210.6	CX3CL1	82	4.406719247264253
ENSG00000006282.20	SPATA20	1031	6.93828448401696
ENSG00000006283.17	CACNA1G	3	1.0986122886681098
ENSG00000006327.13	TNFRSF12A	2706	7.903226808730733
ENSG00000006432.15	MAP3K9	781	6.660575149839686
ENSG00000006451.7	RALA	427	6.056784013228625
ENSG00000006453.13	BAIAP2L1	604	6.403574197934815
ENSG00000006459.10	KDM7A	534	6.280395838960195
ENSG00000006530.16	AGK	473	6.159095388491933
ENSG00000006534.15	ALDH3B1	358	5.8805329864007
ENSG00000006555.10	TTC22	277	5.6240175061873385
ENSG00000006576.16	PHTF2	694	6.542471960506805
ENSG00000006607.13	FARP2	585	6.371611847231857
ENSG00000006611.15	USH1C	4	1.3862943611198906
ENSG00000006625.17	GGCT	475	6.163314804034641
ENSG00000006634.7	DBF4	259	5.556828061699537
ENSG00000006638.11	TBXA2R	1	0.0
ENSG00000006652.13	IFRD1	832	6.723832440821209
ENSG00000006695.10	COX10	233	5.4510384535657
ENSG00000006704.10	GTF2IRD1	1013	6.920671504248683
ENSG00000006712.14	PAF1	1258	7.1372784372603855
ENSG00000006715.15	VPS41	496	6.206575926724928
ENSG00000006740.16	ARHGAP44	322	5.7745515455444085
ENSG00000006744.18	ELAC2	722	6.582025138892826
ENSG00000006747.14	SCIN	13	2.5649493574615367
ENSG00000006756.15	ARSD	249	5.517452896464707
ENSG00000006757.11	PNPLA4	81	4.394449154672439
ENSG00000006831.9	ADIPOR2	1183	7.075808863978387
ENSG00000006837.11	CDKL3	10	2.302585092994046
ENSG00000007038.10	PRSS21	519	6.251903883165888
ENSG00000007047.14	MARK4	445	6.09807428216624
ENSG00000007062.11	PROM1	191	5.25227342804663
ENSG00000007080.10	CCDC124	1287	7.160069207596127
ENSG00000007168.12	PAFAH1B1	1566	7.356279876550748
ENSG00000007202.14	KIAA0100	2625	7.872836175025724
ENSG00000007237.18	GAS7	78	4.356708826689592
ENSG00000007255.10	TRAPPC6A	95	4.553876891600541
ENSG00000007264.14	MATK	3	1.0986122886681098
ENSG00000007341.18	ST7L	148	4.997212273764115
ENSG00000007376.7	RPUSD1	420	6.040254711277414
ENSG00000007384.15	RHBDF1	380	5.940171252720432
ENSG00000007392.16	LUC7L	1177	7.0707241072602764
ENSG00000007402.11	CACNA2D2	27	3.295836866004329
ENSG00000007516.13	BAIAP3	443	6.093569770045136
ENSG00000007520.3	TSR3	492	6.198478716492308
ENSG00000007541.16	PIGQ	564	6.335054251498059
ENSG00000007545.15	CRAMP1	497	6.208590026096629
ENSG00000007866.20	TEAD3	541	6.293419278846481
ENSG00000007923.15	DNAJC11	979	6.88653164253051
ENSG00000007944.14	MYLIP	525	6.263398262591624
ENSG00000007968.6	E2F2	75	4.31748811353631
ENSG00000008018.8	PSMB1	1153	7.050122520269059
ENSG00000008056.13	SYN1	1	0.0
ENSG00000008083.13	JARID2	388	5.961005339623274
ENSG00000008086.11	CDKL5	78	4.356708826689592
ENSG00000008128.22	CDK11A	321	5.771441123130016
ENSG00000008130.15	NADK	1072	6.977281341630747
ENSG00000008226.19	DLEC1	47	3.8501476017100584
ENSG00000008256.15	CYTH3	379	5.937536205082426
ENSG00000008277.14	ADAM22	55	4.007333185232471
ENSG00000008282.8	SYPL1	1623	7.392031567514591
ENSG00000008283.15	CYB561	1054	6.960347729101308
ENSG00000008294.20	SPAG9	763	6.637258031284457
ENSG00000008300.16	CELSR3	229	5.43372200355424
ENSG00000008311.14	AASS	5	1.6094379124341003
ENSG00000008323.15	PLEKHG6	122	4.804021044733257
ENSG00000008324.11	SS18L2	205	5.3230099791384085
ENSG00000008382.15	MPND	179	5.187385805840755
ENSG00000008394.12	MGST1	1348	7.206377291472252
ENSG00000008405.11	CRY1	587	6.375024819828097
ENSG00000008441.16	NFIX	2614	7.868636894184167
ENSG00000008513.15	ST3GAL1	2711	7.905072849498666
ENSG00000008516.16	MMP25	5	1.6094379124341003
ENSG00000008517.16	IL32	26	3.258096538021482
ENSG00000008710.19	PKD1	3720	8.221478947267192
ENSG00000008735.13	MAPK8IP2	32	3.4657359027997265
ENSG00000008838.19	MED24	473	6.159095388491933
ENSG00000008853.16	RHOBTB2	587	6.375024819828097
ENSG00000008869.11	HEATR5B	682	6.525029657843462
ENSG00000008952.16	SEC62	2383	7.776115477098742
ENSG00000008988.9	RPS20	8963	9.100860271357362
ENSG00000009307.15	CSDE1	10402	9.249753374333018
ENSG00000009335.17	UBE3C	1965	7.583247524303362
ENSG00000009413.15	REV3L	335	5.814130531825066
ENSG00000009780.15	FAM76A	195	5.272999558563747
ENSG00000009790.14	TRAF3IP3	14	2.6390573296152584
ENSG00000009830.11	POMT2	684	6.52795791762255
ENSG00000009844.15	VTA1	514	6.2422232654551655
ENSG00000009950.15	MLXIPL	128	4.852030263919617
ENSG00000009954.10	BAZ1B	2866	7.960672608388117
ENSG00000010017.12	RANBP9	872	6.77078942390898
ENSG00000010030.13	ETV7	7	1.9459101490553132
ENSG00000010072.15	SPRTN	295	5.68697535633982
ENSG00000010165.19	METTL13	659	6.490723534502507
ENSG00000010219.13	DYRK4	47	3.8501476017100584
ENSG00000010244.18	ZNF207	2477	7.814803429489359
ENSG00000010256.10	UQCRC1	2684	7.895063498091573
ENSG00000010270.13	STARD3NL	394	5.976350909297934
ENSG00000010278.13	CD9	8174	9.008713664124222
ENSG00000010292.12	NCAPD2	761	6.634633357861686
ENSG00000010295.19	IFFO1	15	2.70805020110221
ENSG00000010310.8	GIPR	30	3.4011973816621555
ENSG00000010318.20	PHF7	27	3.295836866004329
ENSG00000010319.6	SEMA3G	6	1.791759469228055
ENSG00000010322.15	NISCH	1485	7.3031700512368
ENSG00000010327.10	STAB1	513	6.240275845170769
ENSG00000010361.13	FUZ	167	5.117993812416755
ENSG00000010379.15	SLC6A13	17	2.833213344056216
ENSG00000010404.17	IDS	2702	7.9017475185201445
ENSG00000010539.11	ZNF200	98	4.584967478670572
ENSG00000010610.9	CD4	109	4.6913478822291435
ENSG00000010626.14	LRRC23	86	4.454347296253507
ENSG00000010671.15	BTK	15	2.70805020110221
ENSG00000010704.18	HFE	277	5.6240175061873385
ENSG00000010803.16	SCMH1	396	5.981414211254481
ENSG00000010810.17	FYN	654	6.483107351457199
ENSG00000010818.9	HIVEP2	517	6.248042874508429
ENSG00000011007.12	ELOA	928	6.833031732786201
ENSG00000011009.10	LYPLA2	1504	7.315883504509785
ENSG00000011021.22	CLCN6	521	6.255750041753367
ENSG00000011028.13	MRC2	1158	7.05444965813294
ENSG00000011052.21	NME1-NME2	10	2.302585092994046
ENSG00000011105.13	TSPAN9	510	6.234410725718371
ENSG00000011114.14	BTBD7	762	6.635946555686647
ENSG00000011132.11	APBA3	172	5.147494476813453
ENSG00000011143.16	MKS1	232	5.44673737166631
ENSG00000011198.9	ABHD5	289	5.666426688112432
ENSG00000011201.11	ANOS1	87	4.465908118654584
ENSG00000011243.17	AKAP8L	3057	8.025189321890835
ENSG00000011258.15	MBTD1	551	6.311734809152915
ENSG00000011260.13	UTP18	385	5.953243334287785
ENSG00000011275.18	RNF216	536	6.284134161070802
ENSG00000011295.15	TTC19	495	6.20455776256869
ENSG00000011304.19	PTBP1	4262	8.357493812658563
ENSG00000011332.19	DPF1	38	3.6375861597263857
ENSG00000011347.9	SYT7	75	4.31748811353631
ENSG00000011376.10	LARS2	303	5.713732805509369
ENSG00000011405.13	PIK3C2A	766	6.641182169740591
ENSG00000011422.11	PLAUR	438	6.082218910376446
ENSG00000011426.10	ANLN	465	6.142037405587356
ENSG00000011451.19	WIZ	1013	6.920671504248683
ENSG00000011454.16	RABGAP1	506	6.226536669287466
ENSG00000011478.11	QPCTL	138	4.927253685157205
ENSG00000011485.14	PPP5C	1079	6.983789965258135
ENSG00000011523.13	CEP68	262	5.568344503761097
ENSG00000011566.14	MAP4K3	539	6.289715570908998
ENSG00000011600.11	TYROBP	195	5.272999558563747
ENSG00000011638.10	TMEM159	115	4.74493212836325
ENSG00000011677.12	GABRA3	32	3.4657359027997265
ENSG00000012048.21	BRCA1	81	4.394449154672439
ENSG00000012061.15	ERCC1	641	6.46302945692067
ENSG00000012124.16	CD22	84	4.430816798843313
ENSG00000012171.19	SEMA3B	3785	8.23880116587155
ENSG00000012174.11	MBTPS2	186	5.225746673713202
ENSG00000012211.12	PRICKLE3	158	5.062595033026967
ENSG00000012223.12	LTF	11	2.3978952727983707
ENSG00000012232.8	EXTL3	314	5.749392985908253
ENSG00000012660.13	ELOVL5	1057	6.963189985870238
ENSG00000012779.10	ALOX5	169	5.1298987149230735
ENSG00000012822.15	CALCOCO1	1802	7.496652438168283
ENSG00000012963.14	UBR7	457	6.124683390894205
ENSG00000012983.11	MAP4K5	583	6.368187186350492
ENSG00000013016.15	EHD3	182	5.204006687076795
ENSG00000013275.7	PSMC4	2334	7.755338812846501
ENSG00000013288.8	MAN2B2	312	5.7430031878094825
ENSG00000013297.11	CLDN11	13	2.5649493574615367
ENSG00000013306.15	SLC25A39	2349	7.761744984658913
ENSG00000013364.18	MVP	2616	7.86940171257709
ENSG00000013374.16	NUB1	1112	7.013915474810528
ENSG00000013375.15	PGM3	594	6.386879319362645
