Ensembl Gene Record	Common Gene Name	Read Count	Log Count
ENSG00000000419.12	DPM1	832	6.723832440821209
ENSG00000000457.13	SCYL3	170	5.135798437050262
ENSG00000000460.16	C1orf112	227	5.424950017481403
ENSG00000000938.12	FGR	44	3.784189633918261
ENSG00000000971.15	CFH	978	6.885509670034818
ENSG00000001036.13	FUCA2	1061	6.966967138613983
ENSG00000001084.12	GCLC	400	5.991464547107982
ENSG00000001167.14	NFYA	407	6.008813185442595
ENSG00000001460.17	STPG1	173	5.153291594497779
ENSG00000001461.16	NIPAL3	623	6.434546518787453
ENSG00000001497.16	LAS1L	820	6.709304340258298
ENSG00000001561.6	ENPP4	669	6.505784060128229
ENSG00000001617.11	SEMA3F	317	5.75890177387728
ENSG00000001626.15	CFTR	27	3.295836866004329
ENSG00000001629.9	ANKIB1	892	6.79346613258001
ENSG00000001630.16	CYP51A1	499	6.212606095751519
ENSG00000001631.15	KRIT1	350	5.857933154483459
ENSG00000002016.17	RAD52	409	6.013715156042802
ENSG00000002330.13	BAD	398	5.986452005284438
ENSG00000002549.12	LAP3	1463	7.288244401020124
ENSG00000002587.9	HS3ST1	62	4.127134385045092
ENSG00000002726.20	AOC1	194	5.267858159063328
ENSG00000002746.14	HECW1	8	2.0794415416798357
ENSG00000002822.15	MAD1L1	332	5.805134968916488
ENSG00000002834.17	LASP1	10089	9.219201000408379
ENSG00000002919.14	SNX11	152	5.0238805208462765
ENSG00000002933.8	TMEM176A	28	3.332204510175204
ENSG00000003056.7	M6PR	1882	7.540090320145325
ENSG00000003137.8	CYP26B1	124	4.820281565605037
ENSG00000003147.18	ICA1	204	5.318119993844216
ENSG00000003249.13	DBNDD1	163	5.093750200806762
ENSG00000003393.14	ALS2	768	6.643789733147672
ENSG00000003400.14	CASP10	549	6.3080984415095305
ENSG00000003402.19	CFLAR	2632	7.875499292445208
ENSG00000003436.15	TFPI	24	3.1780538303479458
ENSG00000003509.15	NDUFAF7	243	5.493061443340548
ENSG00000003756.16	RBM5	2166	7.680637427560936
ENSG00000003987.13	MTMR7	16	2.772588722239781
ENSG00000003989.17	SLC7A2	336	5.817111159963204
ENSG00000004059.10	ARF5	667	6.502790045915623
ENSG00000004139.13	SARM1	325	5.783825182329737
ENSG00000004142.11	POLDIP2	795	6.678342114654332
ENSG00000004399.12	PLXND1	763	6.637258031284457
ENSG00000004455.16	AK2	3706	8.217708406845306
ENSG00000004468.12	CD38	8	2.0794415416798357
ENSG00000004478.7	FKBP4	11853	9.3803362790795
ENSG00000004487.16	KDM1A	5061	8.529319371214077
ENSG00000004534.14	RBM6	3426	8.139148678884066
ENSG00000004660.14	CAMKK1	81	4.394449154672439
ENSG00000004700.15	RECQL	833	6.725033642166843
ENSG00000004766.16	VPS50	475	6.163314804034641
ENSG00000004777.18	ARHGAP33	156	5.049856007249537
ENSG00000004779.9	NDUFAB1	816	6.704414354964107
ENSG00000004799.7	PDK4	193	5.262690188904886
ENSG00000004838.13	ZMYND10	54	3.9889840465642745
ENSG00000004864.13	SLC25A13	1064	6.96979066990159
ENSG00000004866.20	ST7	386	5.955837369464831
ENSG00000004897.11	CDC27	918	6.822197390620491
ENSG00000004961.14	HCCS	942	6.848005274576363
ENSG00000004975.11	DVL2	2214	7.7025561132685825
ENSG00000005001.9	PRSS22	793	6.675823221634848
ENSG00000005007.12	UPF1	1756	7.470793774195062
ENSG00000005020.12	SKAP2	329	5.796057750765372
ENSG00000005022.5	SLC25A5	9292	9.1369090938903
ENSG00000005059.15	MCUB	140	4.941642422609304
ENSG00000005075.15	POLR2J	577	6.3578422665081
ENSG00000005100.12	DHX33	343	5.8377304471659395
ENSG00000005102.12	MEOX1	4601	8.434028950155469
ENSG00000005108.15	THSD7A	94	4.543294782270004
ENSG00000005156.11	LIG3	598	6.393590753950631
ENSG00000005175.9	RPAP3	670	6.507277712385012
ENSG00000005187.11	ACSM3	496	6.206575926724928
ENSG00000005189.19	REXO5	134	4.897839799950911
ENSG00000005194.14	CIAPIN1	699	6.54965074223381
ENSG00000005206.16	SPPL2B	415	6.028278520230698
ENSG00000005238.19	FAM214B	215	5.3706380281276624
ENSG00000005243.9	COPZ2	17	2.833213344056216
ENSG00000005249.12	PRKAR2B	192	5.2574953720277815
ENSG00000005302.18	MSL3	388	5.961005339623274
ENSG00000005339.14	CREBBP	1044	6.950814768442584
ENSG00000005379.16	TSPOAP1	88	4.477336814478207
ENSG00000005421.8	PON1	112	4.718498871295094
ENSG00000005436.13	GCFC2	305	5.720311776607412
ENSG00000005448.16	WDR54	126	4.836281906951478
ENSG00000005469.11	CROT	96	4.564348191467836
ENSG00000005471.17	ABCB4	4	1.3862943611198906
ENSG00000005483.20	KMT2E	2099	7.649216319820633
ENSG00000005486.16	RHBDD2	1374	7.2254814727822945
ENSG00000005700.14	IBTK	943	6.849066282633458
ENSG00000005801.17	ZNF195	726	6.587550014824796
ENSG00000005810.17	MYCBP2	829	6.720220155135295
ENSG00000005812.10	FBXL3	952	6.858565034791365
ENSG00000005844.17	ITGAL	19	2.9444389791664403
ENSG00000005882.11	PDK2	418	6.035481432524756
ENSG00000005884.17	ITGA3	2669	7.889459149404524
ENSG00000005889.15	ZFX	619	6.428105272684596
ENSG00000005893.15	LAMP2	2159	7.677400430514807
ENSG00000005961.18	ITGA2B	66	4.189654742026425
ENSG00000006007.11	GDE1	663	6.4967749901858625
ENSG00000006015.17	REX1BD	572	6.349138991379798
ENSG00000006016.10	CRLF1	62	4.127134385045092
ENSG00000006025.11	OSBPL7	184	5.214935757608986
ENSG00000006042.11	TMEM98	17	2.833213344056216
ENSG00000006047.12	YBX2	1011	6.918695219020472
ENSG00000006062.15	MAP3K14	454	6.118097198041348
ENSG00000006118.14	TMEM132A	1173	7.067319848653476
ENSG00000006125.17	AP2B1	1941	7.57095858316901
ENSG00000006194.9	ZNF263	401	5.993961427306569
ENSG00000006210.6	CX3CL1	174	5.159055299214529
ENSG00000006282.20	SPATA20	821	6.710523109452428
ENSG00000006283.17	CACNA1G	1	0.0
ENSG00000006327.13	TNFRSF12A	2657	7.884952945759814
ENSG00000006432.15	MAP3K9	2030	7.615791072035833
ENSG00000006451.7	RALA	1451	7.280008252884188
ENSG00000006453.13	BAIAP2L1	1357	7.213031659834869
ENSG00000006459.10	KDM7A	310	5.736572297479192
ENSG00000006530.16	AGK	274	5.6131281063880705
ENSG00000006534.15	ALDH3B1	767	6.642486801367256
ENSG00000006555.10	TTC22	121	4.795790545596741
ENSG00000006576.16	PHTF2	871	6.769641976852503
ENSG00000006607.13	FARP2	908	6.811244378601294
ENSG00000006611.15	USH1C	2	0.6931471805599453
ENSG00000006625.17	GGCT	2335	7.755767170102998
ENSG00000006634.7	DBF4	604	6.403574197934815
ENSG00000006638.11	TBXA2R	5	1.6094379124341003
ENSG00000006652.13	IFRD1	827	6.717804695023691
ENSG00000006695.10	COX10	169	5.1298987149230735
ENSG00000006704.10	GTF2IRD1	632	6.448889394146858
ENSG00000006712.14	PAF1	803	6.688354713946762
ENSG00000006715.15	VPS41	1347	7.205635176410364
ENSG00000006740.16	ARHGAP44	108	4.68213122712422
ENSG00000006744.18	ELAC2	687	6.532334292222349
ENSG00000006747.14	SCIN	1	0.0
ENSG00000006756.15	ARSD	691	6.53813982376767
ENSG00000006757.11	PNPLA4	233	5.4510384535657
ENSG00000006831.9	ADIPOR2	4399	8.389132521348719
ENSG00000006837.11	CDKL3	14	2.6390573296152584
ENSG00000007038.10	PRSS21	1877	7.537430036586509
ENSG00000007047.14	MARK4	282	5.641907070938114
ENSG00000007062.11	PROM1	3	1.0986122886681098
ENSG00000007080.10	CCDC124	1289	7.161622002939187
ENSG00000007168.12	PAFAH1B1	1196	7.086737934510577
ENSG00000007202.14	KIAA0100	2142	7.669495251007694
ENSG00000007237.18	GAS7	61	4.110873864173311
ENSG00000007255.10	TRAPPC6A	153	5.030437921392435
ENSG00000007264.14	MATK	30	3.4011973816621555
ENSG00000007341.18	ST7L	233	5.4510384535657
ENSG00000007376.7	RPUSD1	363	5.8944028342648505
ENSG00000007384.15	RHBDF1	204	5.318119993844216
ENSG00000007392.16	LUC7L	660	6.492239835020471
ENSG00000007402.11	CACNA2D2	21	3.044522437723423
ENSG00000007516.13	BAIAP3	81	4.394449154672439
ENSG00000007520.3	TSR3	353	5.8664680569332965
ENSG00000007541.16	PIGQ	372	5.918893854273146
ENSG00000007545.15	CRAMP1	286	5.655991810819852
ENSG00000007866.20	TEAD3	257	5.54907608489522
ENSG00000007923.15	DNAJC11	1670	7.4205789054108005
ENSG00000007944.14	MYLIP	338	5.823045895483019
ENSG00000007968.6	E2F2	264	5.575949103146316
ENSG00000008018.8	PSMB1	1106	7.00850518208228
ENSG00000008056.13	SYN1	6	1.791759469228055
ENSG00000008083.13	JARID2	427	6.056784013228625
ENSG00000008086.11	CDKL5	151	5.017279836814924
ENSG00000008128.22	CDK11A	289	5.666426688112432
ENSG00000008130.15	NADK	1094	6.9975959829819265
ENSG00000008226.19	DLEC1	36	3.58351893845611
ENSG00000008256.15	CYTH3	480	6.173786103901937
ENSG00000008277.14	ADAM22	71	4.2626798770413155
ENSG00000008282.8	SYPL1	1486	7.303843225277705
ENSG00000008283.15	CYB561	1652	7.409741954080923
ENSG00000008294.20	SPAG9	1137	7.036148493750536
ENSG00000008300.16	CELSR3	50	3.912023005428146
ENSG00000008311.14	AASS	85	4.442651256490317
ENSG00000008323.15	PLEKHG6	275	5.616771097666572
ENSG00000008324.11	SS18L2	332	5.805134968916488
ENSG00000008382.15	MPND	232	5.44673737166631
ENSG00000008394.12	MGST1	1468	7.291656209174461
ENSG00000008405.11	CRY1	931	6.836259277277067
ENSG00000008441.16	NFIX	2317	7.748028524432376
ENSG00000008513.15	ST3GAL1	6416	8.766550149546351
ENSG00000008516.16	MMP25	26	3.258096538021482
ENSG00000008517.16	IL32	88	4.477336814478207
ENSG00000008710.19	PKD1	849	6.744059186311348
ENSG00000008735.13	MAPK8IP2	111	4.709530201312334
ENSG00000008838.19	MED24	1524	7.329093736246592
ENSG00000008853.16	RHOBTB2	595	6.38856140554563
ENSG00000008869.11	HEATR5B	634	6.452048954437226
ENSG00000008952.16	SEC62	1786	7.487733761436444
ENSG00000008988.9	RPS20	14062	9.551231402759107
ENSG00000009307.15	CSDE1	9896	9.199885914072324
ENSG00000009335.17	UBE3C	1041	6.947937068614969
ENSG00000009413.15	REV3L	231	5.442417710521793
ENSG00000009780.15	FAM76A	241	5.484796933490655
