Ensembl Gene Record	Common Gene Name	Read Count	Log Count
ENSG00000125945.14	ZNF436	225	5.41610040220442
ENSG00000125952.18	MAX	921	6.825460036255307
ENSG00000125962.14	ARMCX5	182	5.204006687076795
ENSG00000125966.9	MMP24	353	5.8664680569332965
ENSG00000125967.16	NECAB3	830	6.721425700790643
ENSG00000125968.8	ID1	984	6.891625897052253
ENSG00000125970.11	RALY	2801	7.937731775260109
ENSG00000125971.16	DYNLRB1	1018	6.925595197110468
ENSG00000125977.6	EIF2S2	2548	7.843064016692054
ENSG00000125991.19	ERGIC3	3158	8.057694194815587
ENSG00000125995.15	ROMO1	871	6.769641976852503
ENSG00000126001.15	CEP250	1277	7.152268856032539
ENSG00000126003.6	PLAGL2	1199	7.089243155027514
ENSG00000126005.16	MMP24OS	630	6.4457198193855785
ENSG00000126012.11	KDM5C	2247	7.717351272185329
ENSG00000126016.15	AMOT	989	6.8966943316227125
ENSG00000126062.3	TMEM115	470	6.152732694704104
ENSG00000126067.11	PSMB2	1405	7.247792581767846
ENSG00000126070.19	AGO3	1444	7.275172319452771
ENSG00000126088.13	UROD	652	6.480044561926653
ENSG00000126091.20	ST3GAL3	69	4.23410650459726
ENSG00000126106.13	TMEM53	92	4.5217885770490405
ENSG00000126107.14	HECTD3	983	6.890609120147166
ENSG00000126214.21	KLC1	992	6.899723107284872
ENSG00000126215.13	XRCC3	386	5.955837369464831
ENSG00000126216.14	TUBGCP3	638	6.45833828334479
ENSG00000126217.20	MCF2L	1036	6.943122422819428
ENSG00000126226.21	PCID2	701	6.55250788703459
ENSG00000126243.8	LRFN3	48	3.871201010907891
ENSG00000126246.9	IGFLR1	1	0.0
ENSG00000126247.10	CAPNS1	1520	7.326465613840322
ENSG00000126249.7	PDCD2L	145	4.976733742420574
ENSG00000126254.11	RBM42	486	6.186208623900494
ENSG00000126261.12	UBA2	1446	7.27655640271871
ENSG00000126264.9	HCST	7	1.9459101490553132
ENSG00000126267.9	COX6B1	915	6.818924065275521
ENSG00000126351.12	THRA	1252	7.132497551660044
ENSG00000126368.5	NR1D1	181	5.198497031265826
ENSG00000126391.13	FRMD8	668	6.504288173536645
ENSG00000126432.13	PRDX5	3333	8.11162807830774
ENSG00000126453.9	BCL2L12	102	4.624972813284271
ENSG00000126456.15	IRF3	831	6.7226297948554485
ENSG00000126457.21	PRMT1	1648	7.4073177104694174
ENSG00000126458.3	RRAS	85	4.442651256490317
ENSG00000126460.10	PRRG2	88	4.477336814478207
ENSG00000126461.14	SCAF1	824	6.714170529909472
ENSG00000126464.13	PRR12	659	6.490723534502507
ENSG00000126522.16	ASL	453	6.115892125483034
ENSG00000126524.9	SBDS	786	6.666956792429207
ENSG00000126561.16	STAT5A	518	6.249975242259483
ENSG00000126562.16	WNK4	9	2.1972245773362196
ENSG00000126581.12	BECN1	1378	7.228388451573604
ENSG00000126583.10	PRKCG	13	2.5649493574615367
ENSG00000126602.10	TRAP1	1863	7.529943370601589
ENSG00000126603.8	GLIS2	428	6.059123195581797
ENSG00000126653.17	NSRP1	320	5.768320995793772
ENSG00000126698.10	DNAJC8	1152	7.049254841255837
ENSG00000126705.14	AHDC1	2930	7.982757702011113
ENSG00000126709.14	IFI6	964	6.871091294610546
ENSG00000126746.17	ZNF384	1009	6.9167150203536085
