Ensembl Gene Record	Common Gene Name	Read Count	Log Count
ENSG00000000419.12	DPM1	1437	7.270312886079025
ENSG00000000457.13	SCYL3	178	5.181783550292085
ENSG00000000460.16	C1orf112	314	5.749392985908253
ENSG00000000938.12	FGR	3	1.0986122886681098
ENSG00000000971.15	CFH	583	6.368187186350492
ENSG00000001036.13	FUCA2	504	6.222576268071369
ENSG00000001084.12	GCLC	550	6.309918278226516
ENSG00000001167.14	NFYA	784	6.664409020350408
ENSG00000001460.17	STPG1	125	4.8283137373023015
ENSG00000001461.16	NIPAL3	1460	7.286191714702382
ENSG00000001497.16	LAS1L	510	6.234410725718371
ENSG00000001561.6	ENPP4	767	6.642486801367256
ENSG00000001617.11	SEMA3F	872	6.77078942390898
ENSG00000001626.15	CFTR	23	3.1354942159291497
ENSG00000001629.9	ANKIB1	1236	7.119635638017636
ENSG00000001630.16	CYP51A1	405	6.003887067106539
ENSG00000001631.15	KRIT1	545	6.300785794663244
ENSG00000002016.17	RAD52	443	6.093569770045136
ENSG00000002330.13	BAD	500	6.214608098422191
ENSG00000002549.12	LAP3	1117	7.018401799069201
ENSG00000002587.9	HS3ST1	6	1.791759469228055
ENSG00000002726.20	AOC1	155	5.043425116919247
ENSG00000002746.14	HECW1	22	3.091042453358316
ENSG00000002822.15	MAD1L1	240	5.480638923341991
ENSG00000002834.17	LASP1	3058	8.025516386489008
ENSG00000002919.14	SNX11	389	5.963579343618446
ENSG00000002933.8	TMEM176A	40	3.6888794541139363
ENSG00000003056.7	M6PR	1182	7.074963197966044
ENSG00000003137.8	CYP26B1	10	2.302585092994046
ENSG00000003147.18	ICA1	201	5.303304908059076
ENSG00000003249.13	DBNDD1	179	5.187385805840755
ENSG00000003393.14	ALS2	599	6.395261598115449
ENSG00000003400.14	CASP10	507	6.2285110035911835
ENSG00000003402.19	CFLAR	1813	7.502738210754851
ENSG00000003436.15	TFPI	11	2.3978952727983707
ENSG00000003509.15	NDUFAF7	327	5.7899601708972535
ENSG00000003756.16	RBM5	1740	7.461640392208575
ENSG00000003987.13	MTMR7	34	3.5263605246161616
ENSG00000003989.17	SLC7A2	804	6.6895992691789665
ENSG00000004059.10	ARF5	1211	7.099201743553092
ENSG00000004139.13	SARM1	94	4.543294782270004
ENSG00000004142.11	POLDIP2	1074	6.97914527506881
ENSG00000004399.12	PLXND1	565	6.336825731146441
ENSG00000004455.16	AK2	4297	8.365672383774996
ENSG00000004468.12	CD38	10	2.302585092994046
ENSG00000004478.7	FKBP4	4096	8.317766166719343
ENSG00000004487.16	KDM1A	2329	7.753194269884341
ENSG00000004534.14	RBM6	1113	7.014814351275545
ENSG00000004660.14	CAMKK1	41	3.713572066704308
ENSG00000004700.15	RECQL	579	6.361302477572996
ENSG00000004766.16	VPS50	595	6.38856140554563
ENSG00000004777.18	ARHGAP33	503	6.220590170099739
ENSG00000004779.9	NDUFAB1	1161	7.057036981697891
ENSG00000004799.7	PDK4	14	2.6390573296152584
