Ensembl Gene Record	Common Gene Name	Read Count	Log Count
ENSG00000000419.12	DPM1	1164	7.059617628291383
ENSG00000000457.13	SCYL3	248	5.5134287461649825
ENSG00000000460.16	C1orf112	327	5.7899601708972535
ENSG00000000938.12	FGR	62	4.127134385045092
ENSG00000000971.15	CFH	16	2.772588722239781
ENSG00000001036.13	FUCA2	1551	7.346655163176539
ENSG00000001084.12	GCLC	1467	7.2909747781429814
ENSG00000001167.14	NFYA	1095	6.9985096422506015
ENSG00000001460.17	STPG1	218	5.384495062789089
ENSG00000001461.16	NIPAL3	743	6.610696044717759
ENSG00000001497.16	LAS1L	206	5.327876168789581
ENSG00000001561.6	ENPP4	584	6.369900982828227
ENSG00000001617.11	SEMA3F	860	6.756932389247553
ENSG00000001626.15	CFTR	14	2.6390573296152584
ENSG00000001629.9	ANKIB1	1269	7.1459844677143876
ENSG00000001630.16	CYP51A1	390	5.966146739123692
ENSG00000001631.15	KRIT1	325	5.783825182329737
ENSG00000002016.17	RAD52	253	5.53338948872752
ENSG00000002330.13	BAD	524	6.261491684321042
ENSG00000002549.12	LAP3	956	6.862757913051401
ENSG00000002587.9	HS3ST1	29	3.367295829986474
ENSG00000002726.20	AOC1	138	4.927253685157205
ENSG00000002746.14	HECW1	35	3.5553480614894135
ENSG00000002822.15	MAD1L1	458	6.126869184114185
ENSG00000002834.17	LASP1	4943	8.505727713306959
ENSG00000002919.14	SNX11	437	6.07993319509559
ENSG00000002933.8	TMEM176A	219	5.389071729816501
ENSG00000003056.7	M6PR	1878	7.537962659768208
ENSG00000003137.8	CYP26B1	218	5.384495062789089
ENSG00000003147.18	ICA1	630	6.4457198193855785
ENSG00000003249.13	DBNDD1	337	5.820082930352362
ENSG00000003393.14	ALS2	1840	7.517520850603031
ENSG00000003400.14	CASP10	123	4.812184355372417
ENSG00000003402.19	CFLAR	2719	7.908019444632471
ENSG00000003436.15	TFPI	16	2.772588722239781
ENSG00000003509.15	NDUFAF7	534	6.280395838960195
ENSG00000003756.16	RBM5	1231	7.115582126184454
ENSG00000003987.13	MTMR7	150	5.0106352940962555
ENSG00000003989.17	SLC7A2	5200	8.556413904569519
ENSG00000004059.10	ARF5	1007	6.914730892718563
ENSG00000004139.13	SARM1	129	4.859812404361672
ENSG00000004142.11	POLDIP2	899	6.80128303447162
ENSG00000004399.12	PLXND1	1136	7.035268599281097
ENSG00000004455.16	AK2	1581	7.365812837209472
ENSG00000004468.12	CD38	41	3.713572066704308
ENSG00000004478.7	FKBP4	3687	8.212568398234145
ENSG00000004487.16	KDM1A	1302	7.171656822768514
ENSG00000004534.14	RBM6	1679	7.425953657077541
ENSG00000004660.14	CAMKK1	97	4.574710978503383
ENSG00000004700.15	RECQL	678	6.519147287940395
ENSG00000004766.16	VPS50	442	6.091309882077698
ENSG00000004777.18	ARHGAP33	132	4.882801922586371
ENSG00000004779.9	NDUFAB1	893	6.794586580876499
ENSG00000004799.7	PDK4	63	4.143134726391533
ENSG00000004838.13	ZMYND10	22	3.091042453358316
ENSG00000004864.13	SLC25A13	928	6.833031732786201
ENSG00000004866.20	ST7	173	5.153291594497779
ENSG00000004897.11	CDC27	1133	7.0326242610280065
ENSG00000004961.14	HCCS	184	5.214935757608986
ENSG00000004975.11	DVL2	1097	7.00033446027523
ENSG00000005001.9	PRSS22	1491	7.307202314764738
ENSG00000005007.12	UPF1	1406	7.2485040723706105
ENSG00000005020.12	SKAP2	155	5.043425116919247
ENSG00000005022.5	SLC25A5	1724	7.452402451223638
ENSG00000005059.15	MCUB	109	4.6913478822291435
ENSG00000005075.15	POLR2J	394	5.976350909297934
ENSG00000005100.12	DHX33	480	6.173786103901937
ENSG00000005102.12	MEOX1	1200	7.090076835776092
ENSG00000005108.15	THSD7A	22	3.091042453358316
ENSG00000005156.11	LIG3	450	6.1092475827643655
ENSG00000005175.9	RPAP3	767	6.642486801367256
ENSG00000005187.11	ACSM3	158	5.062595033026967
ENSG00000005189.19	REXO5	219	5.389071729816501
ENSG00000005194.14	CIAPIN1	514	6.2422232654551655
ENSG00000005206.16	SPPL2B	384	5.950642552587727
ENSG00000005238.19	FAM214B	344	5.840641657373398
ENSG00000005243.9	COPZ2	15	2.70805020110221
ENSG00000005249.12	PRKAR2B	56	4.02535169073515
ENSG00000005302.18	MSL3	265	5.579729825986222
ENSG00000005339.14	CREBBP	2019	7.610357618312838
ENSG00000005379.16	TSPOAP1	92	4.5217885770490405
ENSG00000005421.8	PON1	1	0.0
ENSG00000005436.13	GCFC2	171	5.14166355650266
ENSG00000005448.16	WDR54	163	5.093750200806762
ENSG00000005469.11	CROT	101	4.61512051684126
ENSG00000005471.17	ABCB4	1	0.0
ENSG00000005483.20	KMT2E	1604	7.38025578842646
ENSG00000005486.16	RHBDD2	875	6.774223886357614
ENSG00000005700.14	IBTK	2309	7.744569809354496
ENSG00000005801.17	ZNF195	744	6.612041034833092
ENSG00000005810.17	MYCBP2	1165	7.060476365999801
ENSG00000005812.10	FBXL3	761	6.634633357861686
ENSG00000005844.17	ITGAL	81	4.394449154672439
ENSG00000005882.11	PDK2	369	5.910796644040527
ENSG00000005884.17	ITGA3	23311	10.056680631152522
ENSG00000005889.15	ZFX	360	5.886104031450156
ENSG00000005893.15	LAMP2	1668	7.419380582918692
ENSG00000005961.18	ITGA2B	57	4.04305126783455
ENSG00000006007.11	GDE1	1606	7.381501894506707
ENSG00000006015.17	REX1BD	260	5.560681631015528
ENSG00000006016.10	CRLF1	30	3.4011973816621555
ENSG00000006025.11	OSBPL7	308	5.730099782973574
ENSG00000006042.11	TMEM98	457	6.124683390894205
ENSG00000006047.12	YBX2	716	6.573680166960646
ENSG00000006062.15	MAP3K14	224	5.4116460518550396
ENSG00000006118.14	TMEM132A	2314	7.746732907753622
ENSG00000006125.17	AP2B1	3545	8.173293438966228
ENSG00000006194.9	ZNF263	513	6.240275845170769
ENSG00000006210.6	CX3CL1	238	5.472270673671475
ENSG00000006282.20	SPATA20	803	6.688354713946762
ENSG00000006283.17	CACNA1G	8	2.0794415416798357
ENSG00000006327.13	TNFRSF12A	3524	8.16735198705607
ENSG00000006432.15	MAP3K9	833	6.725033642166843
ENSG00000006451.7	RALA	1336	7.197435354096591
ENSG00000006453.13	BAIAP2L1	1054	6.960347729101308
ENSG00000006459.10	KDM7A	350	5.857933154483459
ENSG00000006530.16	AGK	333	5.808142489980444
ENSG00000006534.15	ALDH3B1	276	5.62040086571715
ENSG00000006555.10	TTC22	251	5.5254529391317835
ENSG00000006576.16	PHTF2	326	5.786897381366708
ENSG00000006607.13	FARP2	642	6.464588303689961
ENSG00000006611.15	USH1C	27	3.295836866004329
ENSG00000006625.17	GGCT	1016	6.923628628138427
ENSG00000006634.7	DBF4	357	5.877735781779639
ENSG00000006638.11	TBXA2R	9	2.1972245773362196
ENSG00000006652.13	IFRD1	1586	7.368970402194793
ENSG00000006695.10	COX10	236	5.4638318050256105
ENSG00000006704.10	GTF2IRD1	970	6.877296071497429
ENSG00000006712.14	PAF1	876	6.775366090936392
